gameId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
3328387679,1,2,2,2,2,2,1
3268456088,1,1,1,1,0,1,0
3326636755,2,2,2,1,2,2,1
3323845047,1,1,1,2,1,1,0
3327944229,2,1,2,2,2,1,1
3316921960,1,2,1,1,0,1,0
3322474567,1,1,1,1,0,1,1
3319758452,1,2,2,2,2,1,1
3325673179,2,2,1,2,0,2,0
3322820449,2,1,2,2,0,1,0
3329720081,1,1,1,1,1,1,1
3322401093,1,1,1,1,1,1,1
3270417825,2,2,2,2,2,2,0
3306370662,2,1,2,2,2,2,2
3317423113,1,1,2,1,0,2,0
3326082547,2,2,2,2,2,2,2
3268177018,1,1,1,1,2,1,0
3329055593,1,2,2,1,1,2,2
3264282808,1,1,2,2,2,1,1
3326077834,2,2,1,1,2,1,1
3330226790,1,2,2,1,0,2,2
3282320058,2,2,2,2,2,1,2
3219601300,2,1,1,2,2,1,2
3329689529,2,1,1,1,2,2,0
3312604936,1,2,1,1,0,1,0
3329778948,1,1,1,1,0,1,1
3330058470,1,2,1,1,0,1,1
3264294396,1,1,1,1,0,1,0
3328613861,2,1,2,0,0,0,2
3318380700,1,1,1,1,1,1,0
3324415951,2,2,2,2,2,2,2
3327315341,2,1,2,2,0,2,1
3321064899,2,2,1,0,0,1,0
3272172999,1,2,1,1,1,1,1
3279667560,1,2,1,1,1,1,0
3317866875,1,1,1,1,0,1,0
3324563211,2,2,2,2,0,1,0
3330795683,2,2,2,0,0,2,2
3326573564,1,2,1,1,0,1,1
3329414334,2,2,2,0,0,2,2
3324518365,1,2,1,1,1,1,0
3324244777,2,2,2,2,2,1,1
3326699508,1,1,1,0,0,2,0
3320957193,1,1,1,1,0,2,1
3282436590,2,2,2,0,0,2,2
3323121160,1,1,2,1,1,1,0
3284933630,2,1,1,2,2,2,0
3321831849,2,1,2,1,1,2,2
3330844042,2,2,2,2,2,2,2
3328015188,2,1,1,1,2,2,0
3308177850,2,1,2,0,0,2,0
3326588233,1,1,1,1,0,1,1
3265468475,1,1,2,1,1,2,1
3326269913,1,1,1,1,1,1,2
3322506068,1,2,1,0,0,1,0
3324782051,2,2,1,2,2,1,0
3326395910,2,1,2,2,0,2,2
3324782657,1,1,1,1,1,1,1
3326030906,1,1,1,1,0,1,0
3325725264,2,2,2,2,0,1,0
3326493514,2,2,2,2,0,1,2
3329518491,2,2,2,2,2,1,2
